date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:53	66579/66579	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Aug%202023%2014:50:40%20GMT	https://7oroof.com/demos/industic/index.html	D:/Rani/internship/technolitics/ADHEZO/7oroof.com/demos/industic/index.html	(from )
14:20:54	93/93	---MCZ	200	added ('OK')	text/plain	date:Mon,%2007%20Aug%202023%2009:18:02%20GMT	https://7oroof.com/robots.txt		(from )
14:20:54	3993/3993	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Nov%202019%2015:08:13%20GMT	https://7oroof.com/demos/industic/assets/images/favicon/favicon.png	D:/Rani/internship/technolitics/ADHEZO/7oroof.com/demos/industic/assets/images/favicon/favicon.png	(from https://7oroof.com/demos/industic/index.html)
14:20:56	205764/205764	---MCZ	200	added ('OK')	text/css	date:Thu,%2021%20Nov%202019%2015:06:08%20GMT	https://7oroof.com/demos/industic/assets/css/libraries.css	D:/Rani/internship/technolitics/ADHEZO/7oroof.com/demos/industic/assets/css/libraries.css	(from https://7oroof.com/demos/industic/index.html)
14:20:56	118092/118092	---MCZ	200	added ('OK')	text/css	date:Thu,%2021%20Nov%202019%2015:06:10%20GMT	https://7oroof.com/demos/industic/assets/css/style.css	D:/Rani/internship/technolitics/ADHEZO/7oroof.com/demos/industic/assets/css/style.css	(from https://7oroof.com/demos/industic/index.html)
14:20:56	3459/3459	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Nov%202019%2015:08:19%20GMT	https://7oroof.com/demos/industic/assets/images/logo/logo-light.png	D:/Rani/internship/technolitics/ADHEZO/7oroof.com/demos/industic/assets/images/logo/logo-light.png	(from https://7oroof.com/demos/industic/index.html)
14:20:57	3715/3715	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Nov%202019%2015:08:17%20GMT	https://7oroof.com/demos/industic/assets/images/logo/logo-dark.png	D:/Rani/internship/technolitics/ADHEZO/7oroof.com/demos/industic/assets/images/logo/logo-dark.png	(from https://7oroof.com/demos/industic/index.html)
14:20:57	51777/51777	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Nov%202019%2015:10:47%20GMT	https://7oroof.com/demos/industic/home-modern.html	D:/Rani/internship/technolitics/ADHEZO/7oroof.com/demos/industic/home-modern.html	(from https://7oroof.com/demos/industic/index.html)
14:20:58	50537/50537	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Nov%202019%2015:10:46%20GMT	https://7oroof.com/demos/industic/home-classic.html	D:/Rani/internship/technolitics/ADHEZO/7oroof.com/demos/industic/home-classic.html	(from https://7oroof.com/demos/industic/index.html)
14:21:00	30935/30935	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Nov%202019%2015:10:54%20GMT	https://7oroof.com/demos/industic/why-us.html	D:/Rani/internship/technolitics/ADHEZO/7oroof.com/demos/industic/why-us.html	(from https://7oroof.com/demos/industic/index.html)
